,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,57.094917,57.57430600000001,55.982742,56.452541000000004,30.480796999999995,1236900
1,2002-01-30,56.903164000000004,57.660594999999994,56.75935,56.883987,30.713741,1792700
2,2002-01-31,56.883987,57.813999,56.836048,57.813999,31.215889,1538100
3,2002-02-01,57.62224200000001,58.024929,57.238735,57.766059999999996,31.190008000000002,1312500
4,2002-02-04,57.861938,58.082455,57.14285699999999,57.315437,30.946690000000004,923100
5,2002-02-05,57.14285699999999,57.372963,56.51006700000001,56.768936,30.651611,1648500
6,2002-02-06,57.238735,57.651008999999995,56.99904300000001,57.3442,30.962235999999997,1483300
7,2002-02-07,57.516777000000005,57.516777000000005,56.423779,56.462128,30.485962,1016000
8,2002-02-08,56.615531999999995,57.478428,55.752635999999995,57.152446999999995,30.8587,1013100
9,2002-02-11,56.807285,57.52636700000001,56.682648,57.277083999999995,30.926004,1645200
10,2002-02-12,57.392139,57.52636700000001,57.152446999999995,57.478428,31.034698,967400
11,2002-02-13,57.382549,57.737297,57.257912,57.57430600000001,31.086477000000002,1029600
12,2002-02-14,57.718121,57.766059999999996,57.12368000000001,57.564716000000004,31.081295,946100
13,2002-02-15,57.564716000000004,58.820708999999994,57.478428,58.475552,31.573086,1869100
14,2002-02-19,58.475552,58.859062,58.053692000000005,58.053692000000005,31.345306,1437400
15,2002-02-20,58.437199,60.067116000000006,58.21668199999999,59.779484,32.277134000000004,1601100
16,2002-02-21,60.0,60.258869,58.504314,58.581017,31.630039,1864100
17,2002-02-22,58.581017,60.79578000000001,58.35091,60.306808,32.561840000000004,1808500
18,2002-02-25,60.786193999999995,60.872482,60.019176,60.613613,32.727515999999994,1305500
19,2002-02-26,60.824543000000006,60.834132999999994,59.73154399999999,60.383511,32.603268,1502400
20,2002-02-27,60.594440000000006,60.719078,59.549377,60.18216700000001,32.494556,1219600
21,2002-02-28,60.546501,60.834132999999994,59.721954000000004,60.019176,32.406551,1509300
22,2002-03-01,60.546501,61.31351899999999,60.306808,61.29434200000001,33.095065999999996,1099000
23,2002-03-04,61.361458,61.514862,60.469799,61.093002,32.986351,1421800
24,2002-03-05,60.930007999999994,60.939598,59.539787,59.923297999999996,32.354786,1625300
25,2002-03-06,59.491852,60.958775,59.491852,60.517738,32.842964,1189900
