,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-01-29,51.259997999999996,51.259997999999996,46.75,47.110001000000004,37.40873,6817300
1,2002-01-30,47.5,49.080002,44.860001000000004,47.900002,38.036057,8720300
2,2002-01-31,48.02,50.169998,47.869999,50.169998,39.838589,3481200
3,2002-02-01,49.349998,49.400002,47.259997999999996,48.41,38.441051,5172500
4,2002-02-04,47.450001,47.459998999999996,45.049999,45.560001,36.177925,4832500
5,2002-02-05,45.599998,46.009997999999996,43.700001,44.549999,35.375931,4410700
6,2002-02-06,44.900002,45.0,43.009997999999996,44.419998,35.293839,4791500
7,2002-02-07,43.950001,47.75,43.5,46.16,36.676361,4802100
8,2002-02-08,46.16,47.82,46.16,47.52,37.756927000000005,3133400
9,2002-02-11,46.75,46.759997999999996,45.049999,45.68,36.294964,5094500
10,2002-02-12,46.75,48.34,46.5,47.599998,37.820499,4064300
11,2002-02-13,48.299999,49.200001,48.25,48.75,38.734226,2658600
12,2002-02-14,48.25,49.130001,47.25,47.459998999999996,37.709278000000005,2994500
13,2002-02-15,47.900002,47.900002,45.360001000000004,45.990002000000004,36.541275,4105600
14,2002-02-19,45.349998,46.349998,45.009997999999996,45.380001,36.056587,2430900
15,2002-02-20,45.599998,46.84,44.5,46.709998999999996,37.113354,2183600
16,2002-02-21,46.450001,46.790001000000004,44.540001000000004,44.900002,35.675228000000004,2645600
17,2002-02-22,45.049999,45.200001,43.189999,44.09,35.031639,3494400
18,2002-02-25,44.150002,47.0,44.150002,47.0,37.343769,2674100
19,2002-02-26,46.900002,47.650002,45.75,47.380001,37.645699,2458300
20,2002-02-27,48.25,49.900002,48.099998,48.900002,38.853405,3261400
21,2002-02-28,49.099998,50.299999,49.040001000000004,49.27,39.147391999999996,3114700
22,2002-03-01,49.450001,51.0,48.849998,50.59,40.196209,2170800
23,2002-03-04,52.5,55.43,52.450001,55.200001,43.85907,5637900
24,2002-03-05,54.599998,57.700001,54.509997999999996,56.200001,44.653614000000005,6296800
25,2002-03-06,55.849998,57.450001,55.77,57.099998,45.368702,3472800
26,2002-03-07,58.200001,58.450001,57.599998,58.189999,46.234768,4739000
27,2002-03-08,60.0,60.200001,57.82,58.459998999999996,46.449303,5095100
28,2002-03-11,58.799999,61.400002,58.799999,60.869999,48.364143,5468000
29,2002-03-12,59.900002,61.650002,59.799999,61.040001000000004,48.499221999999996,4910300
30,2002-03-13,60.400002,60.599998,59.400002,59.599998,47.355083,3936400
31,2002-03-14,59.700001,60.25,59.189999,59.77,47.49017,2615500
32,2002-03-15,60.0,62.150002,59.98,62.049999,49.301727,2054600
33,2002-03-18,62.060001,63.299999,61.75,62.48,49.643378999999996,2696100
34,2002-03-19,62.799999,64.099998,62.650002,63.810001,50.70013,2997900
35,2002-03-20,63.299999,63.490002000000004,62.0,62.150002,49.38118,2061200
36,2002-03-21,62.150002,62.369999,60.75,62.27,49.476528,1871100
37,2002-03-22,62.27,63.799999,61.810001,63.369999,50.350533,2243500
38,2002-03-25,63.25,63.549999,60.34,60.540001000000004,48.101963,2874000
39,2002-03-26,60.57,63.029999,60.57,62.75,49.857914,2962800
40,2002-03-27,62.75,63.919998,62.52,63.919998,50.787521000000005,1968400
41,2002-03-28,63.919998,64.910004,62.950001,63.849998,50.731911,1734900
42,2002-04-01,63.849998,65.0,62.450001,63.599998,50.533272,1388900
43,2002-04-02,63.349998,64.989998,63.150002,63.990002000000004,50.843163,2952000
44,2002-04-03,63.889998999999996,63.900002,61.400002,61.950001,49.222266999999995,2868000
45,2002-04-04,61.0,62.099998,60.900002,61.740002000000004,49.05542,2287800
46,2002-04-05,62.099998,63.150002,61.25,61.459998999999996,48.832939,2762000
47,2002-04-08,61.0,62.799999,60.950001,62.759997999999996,49.865864,1936800
48,2002-04-09,63.099998,64.389999,62.759997999999996,63.0,50.056553,2032100
49,2002-04-10,64.0,64.440002,63.169998,64.400002,51.168907,2042200
50,2002-04-11,64.400002,65.0,61.599998,62.279999,49.484478,3164000
51,2002-04-12,62.799999,63.43,62.200001,62.450001,49.619545,2158700
